,BG_SCALE,Q3,MIN,MAX,N_SURG,Q1,PART,Q2,TARGET_SCALE,MAX_QUEUE_LENGTH,AVG
290,1.5,26.0,8.0,29.0,3,9.2,0.06382978723404255,14.0,0.5,1.0,17.0
291,1.5,10,10.0,10.0,3,10,0.027777777777777776,10,0.5,0.0,10.0
292,1.5,47.2,9.0,49.0,3,22.5,0.09523809523809523,42.0,0.5,1.0,35.5
293,1.5,37,37.0,37.0,3,37,0.02631578947368421,37,0.5,0.0,37.0
294,1.5,23,23.0,23.0,3,23,0.02702702702702703,23,0.5,0.0,23.0
295,1.5,--,,,3,--,0.0,--,0.5,,
296,1.5,32,32.0,32.0,3,32,0.024390243902439025,32,0.5,0.0,32.0
297,1.5,32,32.0,32.0,3,32,0.02857142857142857,32,0.5,2.0,32.0
298,1.5,32.0,21.0,32.0,3,21.0,0.05128205128205128,26.5,0.5,1.0,26.5
299,1.5,--,,,3,--,0.0,--,0.5,,
300,1.5,488.0,9.0,488.0,3,9.0,0.06451612903225806,248.5,0.5,7.0,248.5
301,1.5,--,,,3,--,0.0,--,0.5,,
302,1.5,--,,,3,--,0.0,--,0.5,,
303,1.5,67,67.0,67.0,3,67,0.045454545454545456,67,0.5,1.0,67.0
304,1.5,9,9.0,9.0,3,9,0.023255813953488372,9,0.5,0.0,9.0
305,1.5,158,158.0,158.0,3,158,0.03125,158,0.5,2.0,158.0
306,1.5,--,,,3,--,0.0,--,0.5,,
307,1.5,--,,,3,--,0.0,--,0.5,,
308,1.5,38.3,3.0,46.0,3,5.1,0.15151515151515152,10.0,0.5,1.0,20.0
309,1.5,59,59.0,59.0,3,59,0.043478260869565216,59,0.5,1.0,59.0
310,1.5,25.2,8.0,29.0,3,8.4,0.11538461538461539,10.0,0.5,1.0,15.666666666666666
311,1.5,55.0,2.0,64.0,3,5.4,0.08571428571428572,19.0,0.5,1.0,28.333333333333332
312,1.5,--,,,4,--,0.0,--,0.5,,
313,1.5,14,14.0,14.0,4,14,0.04,14,0.5,0.0,14.0
314,1.5,--,,,4,--,0.0,--,0.5,,
315,1.5,14,14.0,14.0,4,14,0.02702702702702703,14,0.5,0.0,14.0
316,1.5,63,63.0,63.0,4,63,0.02702702702702703,63,0.5,2.0,63.0
317,1.5,--,,,4,--,0.0,--,0.5,,
318,1.5,14,14.0,14.0,4,14,0.02564102564102564,14,0.5,0.0,14.0
319,1.5,11,11.0,11.0,4,11,0.034482758620689655,11,0.5,1.0,11.0
320,1.5,--,,,4,--,0.0,--,0.5,,
321,1.5,--,,,4,--,0.0,--,0.5,,
322,1.5,--,,,4,--,0.0,--,0.5,,
323,1.5,--,,,4,--,0.0,--,0.5,,
324,1.5,--,,,4,--,0.0,--,0.5,,
325,1.5,23,23.0,23.0,4,23,0.041666666666666664,23,0.5,0.0,23.0
326,1.5,--,,,4,--,0.0,--,0.5,,
327,1.5,--,,,4,--,0.0,--,0.5,,
328,1.5,--,,,4,--,0.0,--,0.5,,
329,1.5,--,,,4,--,0.0,--,0.5,,
330,1.5,--,,,4,--,0.0,--,0.5,,
331,1.5,--,,,4,--,0.0,--,0.5,,
332,1.5,--,,,4,--,0.0,--,0.5,,
333,1.5,55.0,53.0,55.0,4,53.0,0.07407407407407407,54.0,0.5,3.0,54.0
334,1.5,--,,,4,--,0.0,--,0.5,,
335,1.5,--,,,4,--,0.0,--,0.5,,
336,1.5,--,,,5,--,0.0,--,0.5,,
337,1.5,--,,,5,--,0.0,--,0.5,,
338,1.5,--,,,5,--,0.0,--,0.5,,
339,1.5,--,,,5,--,0.0,--,0.5,,
340,1.5,--,,,5,--,0.0,--,0.5,,
341,1.5,6.0,3.0,6.0,5,3.0,0.04,4.5,0.5,2.0,4.5
342,1.5,--,,,5,--,0.0,--,0.5,,
343,1.5,--,,,5,--,0.0,--,0.5,,
344,1.5,--,,,5,--,0.0,--,0.5,,
345,1.5,--,,,5,--,0.0,--,0.5,,
346,1.5,--,,,5,--,0.0,--,0.5,,
347,1.5,--,,,5,--,0.0,--,0.5,,
348,1.5,10,10.0,10.0,5,10,0.03571428571428571,10,0.5,1.0,10.0
349,1.5,18,18.0,18.0,5,18,0.03571428571428571,18,0.5,1.0,18.0
350,1.5,--,,,5,--,0.0,--,0.5,,
351,1.5,--,,,5,--,0.0,--,0.5,,
352,1.5,54,54.0,54.0,5,54,0.03125,54,0.5,2.0,54.0
353,1.5,--,,,5,--,0.0,--,0.5,,
354,1.5,--,,,5,--,0.0,--,0.5,,
355,1.5,--,,,5,--,0.0,--,0.5,,
356,1.5,--,,,5,--,0.0,--,0.5,,
357,1.5,--,,,5,--,0.0,--,0.5,,
358,1.5,--,,,5,--,0.0,--,0.5,,
359,1.5,--,,,5,--,0.0,--,0.5,,
360,2.0,1308.3,40.0,2147.0,1,273.95,0.5625,482.0,0.5,33.0,789.6111111111111
361,2.0,652.7,2.0,2185.0,1,115.0,0.918918918918919,215.5,0.5,22.0,482.5
362,2.0,1641.0,9.0,2888.0,1,349.0,0.6923076923076923,770.0,0.5,29.0,996.7777777777778
363,2.0,992.45,1.0,1468.0,1,68.45,0.5,423.0,0.5,18.0,554.5625
364,2.0,1184.3,17.0,2754.0,1,219.4,0.9285714285714286,439.5,0.5,25.0,738.3076923076923
365,2.0,493.35,2.0,2048.0,1,59.6,0.625,207.0,0.5,25.0,453.4
366,2.0,594.9,13.0,1452.0,1,42.9,0.5,212.5,0.5,13.0,378.9166666666667
