,MAX,PART,Q2,Q3,N_SURG,MAX_QUEUE_LENGTH,MIN,SCALE,AVG,Q1
215,16032,0.9939226519337017,7008.5,12207.2,2,660,1,1.0,7613.407170650361,3587.55
216,16384,0.9959079283887468,10001.5,13127.35,2,839,2,1.0,8235.880585516179,2018.7000000000003
217,17137,0.9935803910125475,7017.0,10880.2,2,645,1,1.0,7555.155359765052,4573.4
218,17594,0.9962775857484711,9781.0,13525.6,2,832,2,1.0,9456.592740859354,6470.0
219,4763,0.9957435488161746,1452.0,2375.8,2,215,1,1.0,1703.5263157894738,907.0
220,11591,0.9988885801611559,5518.0,9013.0,2,480,17,1.0,5716.948817802503,2389.6000000000004
221,18917,0.9961089494163424,7394.0,13208.55,2,818,6,1.0,8794.892857142857,4370.950000000001
222,15909,0.9901795735129069,7572.0,11782.400000000001,2,730,1,1.0,7300.423349390762,1568.1000000000001
223,14684,0.9972699972699973,8090.0,11000.3,2,717,6,1.0,7254.531617848344,2002.7
224,18988,0.9992264053635895,6578.0,11070.2,2,765,6,1.0,7317.33264516129,2428.2
225,8294,0.9961738179830555,4815.0,5614.3,2,383,6,1.0,4662.143758573388,4295.4
226,10355,0.9909790395330327,3866.0,6583.8,2,485,2,1.0,4778.555020080321,2994.0
227,11054,0.9906444906444907,2433.0,6465.200000000001,2,552,3,1.0,4306.405036726128,1744.0
228,14001,0.9609156895589056,4779.5,10485.100000000002,2,678,1,1.0,5666.036897152818,829.8500000000029
229,13021,0.9973045822102425,6677.5,10119.0,2,616,10,1.0,6567.16027027027,2960.0
230,15162,0.9959172563962984,9213.0,10290.800000000001,2,681,47,1.0,7848.772342169992,3166.0
231,10075,0.9824809268154846,2529.0,7243.500000000001,2,455,1,1.0,3946.651998849583,1161.7
232,9196,0.9987073422957601,5929.0,7489.0,2,456,55,1.0,5511.448097333679,3105.6000000000004
233,11572,0.9909161692187906,5088.0,6219.05,2,494,3,1.0,4649.71686746988,2161.0
234,8905,0.9879319802523313,5616.0,7002.0,2,406,1,1.0,4412.160466407551,1385.0
235,14836,0.9982295662437297,7533.0,10049.0,2,680,24,1.0,7904.110848359444,4998.4
236,8840,0.9978891820580474,3472.5,6857.150000000001,2,433,4,1.0,3987.4891591750397,2046.0
237,10137,0.9922135706340378,3449.5,6070.55,2,411,2,1.0,4161.2003923766815,2235.0
238,18626,0.9948186528497409,5974.0,12279.650000000001,2,763,1,1.0,7437.063368055556,2255.0
239,12013,0.9960306959513099,6152.5,9209.0,2,608,5,1.0,6612.219181721573,4872.0
240,1508,0.7685206034676875,200.0,523.3000000000002,3,109,1,1.0,334.75886317023145,57.0
241,893,0.8091522564318853,192.0,364.0,3,69,1,1.0,245.15480844409694,70.0
242,1412,0.8072260518183979,504.0,842.0,3,93,1,1.0,516.7659010600706,141.45000000000005
243,1442,0.8527242933224088,301.0,637.8000000000002,3,91,1,1.0,396.6685082872928,97.0
244,655,0.6978146194423511,88.0,181.0,3,39,1,1.0,130.55363570914326,39.0
245,1454,0.8057909604519774,203.0,761.8000000000011,3,105,1,1.0,415.37978381536664,76.0
246,3142,0.859436913451512,295.0,982.6000000000004,3,186,1,1.0,683.3622907061393,117.70000000000005
247,1347,0.8717791411042944,278.0,503.0,3,99,1,1.0,341.7762139338494,111.0
248,2310,0.8644392423919983,779.0,1268.0,3,141,1,1.0,817.7789266371245,164.0
249,1584,0.8222462203023758,271.0,552.8000000000002,3,93,1,1.0,357.97951142631996,81.0
250,1118,0.7760923703871406,157.0,423.0,3,69,1,1.0,255.00204200700117,53.0
251,1429,0.8155664585191793,288.0,506.0,3,114,1,1.0,374.94640415641237,90.0
252,2333,0.8925737538148525,397.0,1254.0,3,150,1,1.0,698.4353772509688,143.0
253,1382,0.8221842273990169,171.0,342.0,3,113,1,1.0,269.9901221731219,55.0
254,1556,0.8773274917853231,659.0,961.0,3,97,1,1.0,638.1777777777778,314.0
255,1319,0.7964348591549296,171.0,404.0,3,90,1,1.0,281.1099751312517,61.0
256,1316,0.7370990237099023,98.0,265.8000000000002,3,75,1,1.0,235.8221381267739,40.0
257,1568,0.7945236478841367,173.0,374.8000000000002,3,82,1,1.0,271.6978068926232,60.0
258,1660,0.8515358361774744,282.5,566.0,3,109,1,1.0,399.4291082164329,107.45000000000005
259,1901,0.8001764446404941,234.0,477.10000000000036,3,131,1,1.0,433.23787210584345,83.0
260,1408,0.7929555204335065,236.0,571.5500000000002,3,95,1,1.0,385.5361617312073,90.0
261,1371,0.7856346196743252,333.0,760.0,3,105,1,1.0,437.75922771152756,80.0
262,1054,0.7429154386760372,163.0,361.0,3,79,1,1.0,251.188587122368,52.0
263,1158,0.8415633536457239,365.0,599.0,3,81,1,1.0,387.0047440699126,143.0
264,611,0.7440225035161744,123.0,234.0,3,36,1,1.0,154.65847511027096,51.0
265,993,0.7115669797330697,228.0,513.8000000000002,3,78,1,1.0,303.5686002084057,53.0
266,570,0.7421856639247943,108.0,231.0,3,37,1,1.0,149.3068397720076,43.0
267,1515,0.8395755305867666,219.0,675.8000000000002,3,117,1,1.0,394.2760842627014,75.20000000000005
268,826,0.7844222174930836,134.0,283.0,3,47,1,1.0,192.45876288659792,51.0
269,3062,0.8306834606648772,361.0,1514.4000000000005,3,181,1,1.0,760.8804374844643,121.0
270,50815,0.9993853718500307,23018.0,36380.799999999996,1,1061,381,1.5,23782.31119311193,12009.9
271,48862,0.996100278551532,24600.0,36136.899999999994,1,1124,20,1.5,23758.171140939598,10406.25
272,49124,0.9944008958566629,24301.5,38567.0,1,1166,11,1.5,24906.29054054054,12527.8
273,48137,0.9977641140301845,23924.0,37169.1,1,1136,11,1.5,23919.419607843138,11560.4
274,48531,0.9975445058317987,21097.0,34249.899999999994,1,1019,1,1.5,23031.097230769232,11323.6
275,48623,0.9987893462469734,24626.0,34428.24999999999,1,1149,10,1.5,25816.073333333334,18556.7
276,40588,0.9974984365228268,22807.0,31775.399999999998,1,944,27,1.5,21773.140438871473,11040.800000000001
277,47129,0.9982068141063957,20240.0,35325.0,1,1030,22,1.5,22083.032934131737,9294.7
278,45330,0.9956896551724138,23386.0,34725.9,1,996,2,1.5,22905.876932591218,11732.8
279,47824,0.9983296213808464,27339.0,36743.5,1,1186,1453,1.5,25635.277746793083,14017.899999999996
280,48346,0.9977181973759269,25792.0,37794.899999999994,1,1128,124,1.5,25194.69182389937,12927.1
281,45647,0.9988564894225271,22285.0,34440.6,1,1032,30,1.5,22242.546651402405,11158.6
282,41587,0.9976190476190476,22749.0,33745.399999999994,1,904,8,1.5,22016.59188544153,10878.94999999996
283,44763,0.9958033573141487,15624.0,30390.0,1,934,3,1.5,19487.150511739917,7485.4
284,46317,0.9977641140301845,22018.0,35131.7,1,1095,52,1.5,22675.542857142857,10967.2
285,49484,0.9987277353689568,25835.5,36467.55,1,1031,15,1.5,24583.463694267517,13563.6
286,45971,0.9969154842689698,21946.5,32760.1,1,1025,9,1.5,22715.779084158417,12866.45
287,42436,0.994578313253012,19675.0,30940.8,1,907,11,1.5,19805.464566929135,7229.2
288,47523,0.9976539589442815,26897.0,37614.899999999994,1,1173,40,1.5,25351.459141681364,15079.6
