,MIN,Q2,Q3,MAX_QUEUE_LENGTH,Q1,MAX,AVG,SCALE,N_SURG,PART
122,4,24236.0,33705.8,1194,10856.800000000001,45765,22810.7108045977,1.5,1,0.9977064220183486
123,2,22883.5,35436.25,1319,11346.050000000001,49056,23502.80543572045,1.5,1,0.9969892473118279
124,7,23995.5,37535.8,1306,10885.700000000003,50913,24223.510054844606,1.5,1,0.9977200182398541
125,5,26692.0,39481.8,1329,12353.6,51937,26583.928143712576,1.5,1,0.9940476190476191
126,19,26457.0,38182.6,1247,13935.500000000002,48197,25678.13909426987,1.5,1,0.9990766389658357
127,13,25317.5,37486.1,1242,11104.75,52349,24992.239592969472,1.5,1,0.9990757855822551
128,2,22833.5,34725.35,1230,9738.000000000002,47829,22827.937277580073,1.5,1,0.9933716305788776
129,3,27955.0,41963.0,1423,12653.0,53447,27276.88102748986,1.5,1,0.9973033707865169
130,155,21400.0,35545.09999999999,1193,11205.7,51524,23263.988663202646,1.5,1,0.9995278564683664
131,8,26178.0,40182.2,1256,13908.700000000003,51725,26391.96655829076,1.5,1,0.99860853432282
132,25,26472.0,38742.2,1348,12928.8,53184,26160.763169743357,1.5,1,0.9995499549954996
133,26,24747.0,33401.4,1146,12334.4,44829,23213.357752808988,1.5,1,0.9982054733064154
134,9,24028.0,35986.6,1265,10151.6,48998,23985.227252353205,1.5,1,0.9995519713261649
135,4,22825.0,36392.0,1256,12613.900000000001,49230,24112.249888641425,1.5,1,0.9955654101995566
136,5,25658.0,38841.6,1286,13781.200000000008,50720,25979.07185084129,1.5,1,0.9986376021798365
137,9,23219.5,37251.3,1264,12399.349999999999,51336,24852.50314183124,1.5,1,0.9986553115194979
138,32,26384.0,38692.2,1396,12158.5,52020,25789.899424014176,1.5,1,0.9982308712958867
139,5,25869.0,39348.1,1309,12807.95,50760,25911.40852017937,1.5,1,0.9995517705064993
140,3,9899.0,17650.350000000002,1245,4637.85,24937,10847.147473827947,1.5,2,0.9963718820861678
141,2,9069.5,16517.000000000004,1285,3919.6000000000004,24432,10581.859865470851,1.5,2,0.9979861266502573
142,8,8812.5,16216.2,1155,2601.8,21965,9417.521405304793,1.5,2,0.996522142360306
143,1,13181.0,17891.0,1239,6977.9,25367,12806.4741841208,1.5,2,0.9934672150979917
144,1,12627.5,18028.75,1170,3450.0,23356,11257.048013245034,1.5,2,0.9901639344262295
145,8,12063.0,20904.45,1198,8255.25,23571,13078.11019661637,1.5,2,0.9984021912805295
146,3,10433.0,14551.55,1031,4853.900000000001,19902,10151.124653098983,1.5,2,0.9933379278658396
147,8,11663.0,19378.600000000002,1251,7596.6,25881,13201.747624565469,1.5,2,0.997457235321313
